layer,overall_r2,per_task_mean_r2,gripper_accuracy,gripper_delta_accuracy,raw_mse,val_loss,epochs_trained
0,2.7358531951904297e-05,6.715655326843262e-05,0.006659348701061105,0.987413099158434,0.007994062267243862,0.9842923879623413,11
1,0.05591541528701782,0.05614740252494812,0.47460665934870105,0.987413099158434,0.007547277491539717,0.8266174793243408,33
2,0.060430943965911865,0.06057801842689514,0.45470179290157337,0.987413099158434,0.0075111789628863335,0.8203188180923462,20
3,0.061684250831604004,0.061705201864242554,0.4621295279912184,0.987413099158434,0.00750115979462862,0.818195104598999,19
4,0.060062289237976074,0.06059949398040772,0.43208927918038786,0.987413099158434,0.007514126133173704,0.8185021281242371,13
5,0.06080305576324463,0.06109561324119568,0.5056714233443103,0.987413099158434,0.007508204318583012,0.8169481158256531,12
6,0.061964452266693115,0.06257027983665467,0.4788876692279546,0.987413099158434,0.007498919498175383,0.8186108469963074,12
7,0.06061834096908569,0.06142395734786987,0.41485547017929014,0.987413099158434,0.007509680464863777,0.8175897598266602,9
8,0.06027936935424805,0.0612309992313385,0.4945847054518844,0.987413099158434,0.007512390613555908,0.815895676612854,8
9,0.060713350772857666,0.06129312515258789,0.48020490303695573,0.987413099158434,0.0075089214369654655,0.81630939245224,8
10,0.06061124801635742,0.0610831618309021,0.44939626783754116,0.987413099158434,0.007509737275540829,0.817818284034729,7
11,0.060774803161621094,0.06050331592559814,0.5021222100256129,0.987413099158434,0.007508430164307356,0.8172566294670105,7
12,0.05850178003311157,0.05857687592506409,0.6039517014270033,0.987413099158434,0.0075266011990606785,0.820172131061554,6
13,0.0581699013710022,0.057523077726364134,0.37343578485181117,0.987413099158434,0.007529254071414471,0.8182838559150696,6
14,0.060227394104003906,0.06015623807907104,0.4437980241492865,0.987413099158434,0.007512805983424187,0.8210009336471558,7
15,0.05817908048629761,0.05739426612854004,0.6282107574094402,0.987413099158434,0.007529180962592363,0.820254385471344,6
16,0.05465120077133179,0.05354409217834473,0.6984266373948043,0.987413099158434,0.007557383738458157,0.8199344277381897,6
17,0.05977720022201538,0.059965282678604126,0.4765825100622027,0.987413099158434,0.0075164055451750755,0.8198176622390747,6
18,0.05875927209854126,0.05861392617225647,0.4176362971094036,0.987413099158434,0.007524542510509491,0.8219732642173767,6
19,0.05830806493759155,0.05777970552444458,0.43497987559458473,0.987413099158434,0.007528149522840977,0.8244885802268982,6
20,0.05712920427322388,0.056919020414352414,0.47094767654592024,0.987413099158434,0.007537574041634798,0.8226187229156494,6
21,0.055536746978759766,0.055244344472885135,0.2992682034394438,0.987413099158434,0.007550304289907217,0.822376012802124,6
22,0.05739706754684448,0.05733014345169067,0.5994511525795829,0.987413099158434,0.007535432931035757,0.8218361735343933,6
23,0.05832427740097046,0.058321452140808104,0.43241858763263813,0.987413099158434,0.007528020069003105,0.826633632183075,6
24,0.05644100904464722,0.056737637519836424,0.3452982070984266,0.987413099158434,0.007543075829744339,0.8251122236251831,6
25,0.053752779960632324,0.05325301289558411,0.6237467983900475,0.987413099158434,0.007564566098153591,0.8244078159332275,6
26,0.05552351474761963,0.05530657768249512,0.37852177094767653,0.987413099158434,0.007550410460680723,0.8325126767158508,6
27,0.05551332235336304,0.056406402587890626,0.5666300768386389,0.987413099158434,0.007550491951406002,0.8278895020484924,6
28,0.05012458562850952,0.04609323143959045,0.7306988657153312,0.987413099158434,0.007593571208417416,0.8277947902679443,6
29,0.055781543254852295,0.05598880052566528,0.5785949506037321,0.987413099158434,0.00754834758117795,0.827873706817627,6
30,0.05134725570678711,0.050116294622421266,0.6956824002927187,0.987413099158434,0.007583796512335539,0.8322255611419678,6
31,0.05460798740386963,0.05501294732093811,0.3531284302963776,0.987413099158434,0.007557729259133339,0.8311028480529785,6
32,0.04889559745788574,0.049322092533111574,0.38375411635565315,0.987413099158434,0.007603395264595747,0.83570796251297,6
